"Location","Total","Occupied","Vacant"
"Big Flats CDP, New York","","",""
"    Big Flats CDP, New York","2,455","2,299","156"
"Billington Heights CDP, New York","","",""
"    Billington Heights CDP, New York","756","726","30"
"Binghamton city, New York","","",""
"    Binghamton city, New York","24,969","21,639","3,330"
"Binghamton University CDP, New York","","",""
"    Binghamton University CDP, New York","25","24","1"
"Black River village, New York","","",""
"    Black River village, New York","587","516","71"
"Blasdell village, New York","","",""
"    Blasdell village, New York","1,285","1,178","107"
"Blauvelt CDP, New York","","",""
"    Blauvelt CDP, New York","1,692","1,607","85"
"Bliss CDP, New York","","",""
"    Bliss CDP, New York","225","202","23"
"Blodgett Mills CDP, New York","","",""
"    Blodgett Mills CDP, New York","130","116","14"
"Bloomfield village, New York","","",""
"    Bloomfield village, New York","629","589","40"
"Bloomingburg village, New York","","",""
"    Bloomingburg village, New York","274","234","40"
"Bloomville CDP, New York","","",""
"    Bloomville CDP, New York","107","93","14"
"Blue Point CDP, New York","","",""
"    Blue Point CDP, New York","2,132","2,029","103"
"Bohemia CDP, New York","","",""
"    Bohemia CDP, New York","3,720","3,581","139"
"Bolivar village, New York","","",""
"    Bolivar village, New York","472","412","60"
"Bolton Landing CDP, New York","","",""
"    Bolton Landing CDP, New York","702","280","422"
"Boonville village, New York","","",""
"    Boonville village, New York","986","890","96"
"Brasher Falls CDP, New York","","",""
"    Brasher Falls CDP, New York","270","247","23"
"Breesport CDP, New York","","",""
"    Breesport CDP, New York","258","238","20"
"Brentwood CDP, New York","","",""
"    Brentwood CDP, New York","14,127","13,658","469"
"Brewerton CDP, New York","","",""
"    Brewerton CDP, New York","1,839","1,726","113"
"Brewster village, New York","","",""
"    Brewster village, New York","941","885","56"
"Brewster Heights CDP, New York","","",""
"    Brewster Heights CDP, New York","398","389","9"
"Brewster Hill CDP, New York","","",""
"    Brewster Hill CDP, New York","756","714","42"
"Briarcliff Manor village, New York","","",""
"    Briarcliff Manor village, New York","3,065","2,735","330"
"Bridgehampton CDP, New York","","",""
"    Bridgehampton CDP, New York","2,632","1,136","1,496"
"Bridgeport CDP, New York","","",""
"    Bridgeport CDP, New York","669","624","45"
"Bridgeville CDP, New York","","",""
"    Bridgeville CDP, New York","88","68","20"
"Bridgewater CDP, New York","","",""
"    Bridgewater CDP, New York","234","217","17"
"Brighton CDP, New York","","",""
"    Brighton CDP, New York","17,404","16,399","1,005"
"Brightwaters village, New York","","",""
"    Brightwaters village, New York","1,160","1,135","25"
"Brinckerhoff CDP, New York","","",""
"    Brinckerhoff CDP, New York","1,336","1,283","53"
"Broadalbin village, New York","","",""
"    Broadalbin village, New York","610","537","73"
"Brockport village, New York","","",""
"    Brockport village, New York","2,862","2,427","435"
"Brocton village, New York","","",""
"    Brocton village, New York","654","565","89"
"Bronxville village, New York","","",""
"    Bronxville village, New York","2,505","2,347","158"
"Brookhaven CDP, New York","","",""
"    Brookhaven CDP, New York","1,177","1,097","80"
"Brooktondale CDP, New York","","",""
"    Brooktondale CDP, New York","135","126","9"
"Brookville village, New York","","",""
"    Brookville village, New York","661","625","36"
"Brownville village, New York","","",""
"    Brownville village, New York","444","385","59"
"Brushton village, New York","","",""
"    Brushton village, New York","246","206","40"
"Buchanan village, New York","","",""
"    Buchanan village, New York","877","833","44"
"Buffalo city, New York","","",""
"    Buffalo city, New York","136,350","119,119","17,231"
"Burdett village, New York","","",""
"    Burdett village, New York","165","129","36"
"Burke village, New York","","",""
"    Burke village, New York","89","85","4"
"Burlington Flats CDP, New York","","",""
"    Burlington Flats CDP, New York","68","61","7"
"Busti CDP, New York","","",""
"    Busti CDP, New York","161","151","10"
"Byersville CDP, New York","","",""
"    Byersville CDP, New York","23","19","4"
"Cadyville CDP, New York","","",""
"    Cadyville CDP, New York","213","196","17"
"Cairo CDP, New York","","",""
"    Cairo CDP, New York","770","631","139"
"Calcium CDP, New York","","",""
"    Calcium CDP, New York","1,877","1,639","238"
"Caledonia village, New York","","",""
"    Caledonia village, New York","995","935","60"
"Callicoon CDP, New York","","",""
"    Callicoon CDP, New York","158","114","44"
"Calverton CDP, New York","","",""
"    Calverton CDP, New York","3,016","2,779","237"
"Cambridge village, New York","","",""
"    Cambridge village, New York","876","802","74"
"Camden village, New York","","",""
"    Camden village, New York","1,031","920","111"
"Camillus village, New York","","",""
"    Camillus village, New York","686","638","48"
"Campbell CDP, New York","","",""
"    Campbell CDP, New York","337","303","34"
"Canajoharie village, New York","","",""
"    Canajoharie village, New York","1,037","900","137"
"Canandaigua city, New York","","",""
"    Canandaigua city, New York","5,559","4,964","595"
"Canaseraga village, New York","","",""
"    Canaseraga village, New York","224","200","24"
"Canastota village, New York","","",""
"    Canastota village, New York","2,109","1,943","166"
"Candor village, New York","","",""
"    Candor village, New York","362","331","31"
"Canisteo village, New York","","",""
"    Canisteo village, New York","1,017","919","98"
"Canton village, New York","","",""
"    Canton village, New York","1,979","1,713","266"
"Cape Vincent village, New York","","",""
"    Cape Vincent village, New York","498","364","134"
"Captree CDP, New York","","",""
"    Captree CDP, New York","35","25","10"
"Carle Place CDP, New York","","",""
"    Carle Place CDP, New York","1,908","1,825","83"
"Carmel CDP, New York","","",""
"    Carmel CDP, New York","2,980","2,822","158"
"Caroga Lake CDP, New York","","",""
"    Caroga Lake CDP, New York","816","269","547"
"Carthage village, New York","","",""
"    Carthage village, New York","1,583","1,359","224"
"Cassadaga village, New York","","",""
"    Cassadaga village, New York","333","266","67"
"Castile village, New York","","",""
"    Castile village, New York","460","410","50"
"Castleton-on-Hudson village, New York","","",""
"    Castleton-on-Hudson village, New York","625","562","63"
"Castorland village, New York","","",""
"    Castorland village, New York","139","112","27"
"Cato village, New York","","",""
"    Cato village, New York","246","229","17"
"Catskill village, New York","","",""
"    Catskill village, New York","2,097","1,780","317"
"Cattaraugus village, New York","","",""
"    Cattaraugus village, New York","453","396","57"
"Cayuga village, New York","","",""
"    Cayuga village, New York","244","215","29"
"Cayuga Heights village, New York","","",""
"    Cayuga Heights village, New York","1,678","1,470","208"
"Cazenovia village, New York","","",""
"    Cazenovia village, New York","1,195","1,109","86"
"Cedarhurst village, New York","","",""
"    Cedarhurst village, New York","2,413","2,265","148"
"Celoron village, New York","","",""
"    Celoron village, New York","531","463","68"
"Cementon CDP, New York","","",""
"    Cementon CDP, New York","93","77","16"
"Centereach CDP, New York","","",""
"    Centereach CDP, New York","10,405","10,008","397"
"Center Moriches CDP, New York","","",""
"    Center Moriches CDP, New York","2,960","2,770","190"
"Centerport CDP, New York","","",""
"    Centerport CDP, New York","2,272","2,171","101"
"Central Bridge CDP, New York","","",""
"    Central Bridge CDP, New York","368","310","58"
"Central Islip CDP, New York","","",""
"    Central Islip CDP, New York","10,344","9,870","474"
"Central Square village, New York","","",""
"    Central Square village, New York","932","871","61"
"Centre Island village, New York","","",""
"    Centre Island village, New York","229","160","69"
"Chadwicks CDP, New York","","",""
"    Chadwicks CDP, New York","631","571","60"
"Champlain village, New York","","",""
"    Champlain village, New York","561","509","52"
"Chappaqua CDP, New York","","",""
"    Chappaqua CDP, New York","1,004","970","34"
"Chateaugay village, New York","","",""
"    Chateaugay village, New York","369","321","48"
"Chatham village, New York","","",""
"    Chatham village, New York","874","773","101"
"Chaumont village, New York","","",""
"    Chaumont village, New York","300","230","70"
"Chautauqua CDP, New York","","",""
"    Chautauqua CDP, New York","1,259","110","1,149"
"Chazy CDP, New York","","",""
"    Chazy CDP, New York","257","235","22"
"Cheektowaga CDP, New York","","",""
"    Cheektowaga CDP, New York","36,759","34,789","1,970"
"Chelsea Cove CDP, New York","","",""
"    Chelsea Cove CDP, New York","478","469","9"
"Chenango Bridge CDP, New York","","",""
"    Chenango Bridge CDP, New York","1,256","1,170","86"
"Cherry Creek CDP, New York","","",""
"    Cherry Creek CDP, New York","182","167","15"
"Cherry Valley village, New York","","",""
"    Cherry Valley village, New York","277","218","59"
"Chester village, New York","","",""
"    Chester village, New York","1,763","1,678","85"
"Chestertown CDP, New York","","",""
"    Chestertown CDP, New York","330","263","67"
"Chestnut Ridge village, New York","","",""
"    Chestnut Ridge village, New York","2,780","2,633","147"
"Chittenango village, New York","","",""
"    Chittenango village, New York","2,099","2,022","77"
"Churchville village, New York","","",""
"    Churchville village, New York","1,009","974","35"
"Clarence CDP, New York","","",""
"    Clarence CDP, New York","1,228","1,132","96"
"Clarence Center CDP, New York","","",""
"    Clarence Center CDP, New York","994","961","33"
"Clark Mills CDP, New York","","",""
"    Clark Mills CDP, New York","1,098","1,021","77"
"Clarkson CDP, New York","","",""
"    Clarkson CDP, New York","1,945","1,836","109"
"Claverack-Red Mills CDP, New York","","",""
"    Claverack-Red Mills CDP, New York","562","508","54"
"Clayton village, New York","","",""
"    Clayton village, New York","1,191","849","342"
"Clayville village, New York","","",""
"    Clayville village, New York","162","149","13"
"Cleveland village, New York","","",""
"    Cleveland village, New York","340","282","58"
"Clifton Gardens CDP, New York","","",""
"    Clifton Gardens CDP, New York","1,198","1,172","26"
"Clifton Knolls-Mill Creek CDP, New York","","",""
"    Clifton Knolls-Mill Creek CDP, New York","1,069","1,041","28"
"Clifton Springs village, New York","","",""
"    Clifton Springs village, New York","898","866","32"
"Clinton village, New York","","",""
"    Clinton village, New York","879","812","67"
"Clintondale CDP, New York","","",""
"    Clintondale CDP, New York","826","764","62"
"Clyde village, New York","","",""
"    Clyde village, New York","947","840","107"
"Cobleskill village, New York","","",""
"    Cobleskill village, New York","1,886","1,622","264"
"Cohocton village, New York","","",""
"    Cohocton village, New York","340","299","41"
"Cohoes city, New York","","",""
"    Cohoes city, New York","9,752","8,739","1,013"
"Cold Brook village, New York","","",""
"    Cold Brook village, New York","131","117","14"
"Cold Spring village, New York","","",""
"    Cold Spring village, New York","1,010","909","101"
"Cold Spring Harbor CDP, New York","","",""
"    Cold Spring Harbor CDP, New York","1,020","975","45"
"Colonie village, New York","","",""
"    Colonie village, New York","3,420","3,291","129"
"Colton CDP, New York","","",""
"    Colton CDP, New York","171","148","23"
"Commack CDP, New York","","",""
"    Commack CDP, New York","12,312","12,009","303"
"Conesus CDP, New York","","",""
"    Conesus CDP, New York","125","109","16"
"Conesus Lake CDP, New York","","",""
"    Conesus Lake CDP, New York","1,958","1,199","759"
"Congers CDP, New York","","",""
"    Congers CDP, New York","2,946","2,850","96"
"Constableville village, New York","","",""
"    Constableville village, New York","136","128","8"
"Constantia CDP, New York","","",""
"    Constantia CDP, New York","578","511","67"
"Coopers Plains CDP, New York","","",""
"    Coopers Plains CDP, New York","276","254","22"
"Cooperstown village, New York","","",""
"    Cooperstown village, New York","1,167","923","244"
"Copake CDP, New York","","",""
"    Copake CDP, New York","168","134","34"
"Copake Falls CDP, New York","","",""
"    Copake Falls CDP, New York","113","72","41"
"Copake Lake CDP, New York","","",""
"    Copake Lake CDP, New York","755","347","408"
"Copenhagen village, New York","","",""
"    Copenhagen village, New York","343","316","27"
"Copiague CDP, New York","","",""
"    Copiague CDP, New York","8,024","7,684","340"
"Coram CDP, New York","","",""
"    Coram CDP, New York","16,060","15,234","826"
"Corfu village, New York","","",""
"    Corfu village, New York","366","349","17"
"Corinth village, New York","","",""
"    Corinth village, New York","1,167","1,059","108"
"Corning city, New York","","",""
"    Corning city, New York","5,676","5,046","630"
"Cornwall-on-Hudson village, New York","","",""
"    Cornwall-on-Hudson village, New York","1,288","1,208","80"
"Cortland city, New York","","",""
"    Cortland city, New York","7,649","6,670","979"
"Cortland West CDP, New York","","",""
"    Cortland West CDP, New York","562","542","20"
"Country Knolls CDP, New York","","",""
"    Country Knolls CDP, New York","2,000","1,919","81"
"Cove Neck village, New York","","",""
"    Cove Neck village, New York","138","125","13"
"Coxsackie village, New York","","",""
"    Coxsackie village, New York","1,434","1,283","151"
"Cragsmoor CDP, New York","","",""
"    Cragsmoor CDP, New York","249","190","59"
"Cranberry Lake CDP, New York","","",""
"    Cranberry Lake CDP, New York","386","81","305"
"Crest View Heights CDP, New York","","",""
"    Crest View Heights CDP, New York","741","705","36"
"Croghan village, New York","","",""
"    Croghan village, New York","335","296","39"
"Crompond CDP, New York","","",""
"    Crompond CDP, New York","769","745","24"
"Croton-on-Hudson village, New York","","",""
